datetime,T_mu
2016-11-03,32.8
2016-11-04,34.2
2016-11-05,35.3
2016-11-06,35.5
2016-11-07,33.2
2016-11-08,30.8
2016-11-09,30.3
2016-11-10,28.5
2016-11-11,29.2
2016-11-12,34.2
2016-11-13,36.2
2016-11-14,36.8
2016-11-15,36
2016-11-16,36
2016-11-17,35.7
2016-11-18,36
2016-11-19,36
2016-11-20,35.5
2016-11-21,34.5
2016-11-22,34
2016-11-23,34.2
2016-11-24,34.3
2016-11-25,35.5
2016-11-26,35.8
2016-11-27,32.5
2016-11-28,31.3
2016-11-29,32.3
2016-11-30,33.7
2016-12-01,33.7
2016-12-02,33.2
2016-12-03,33.3
2016-12-04,33
2016-12-05,32.7
2016-12-06,31.2
2016-12-07,32.5
2016-12-08,30
2016-12-09,33
2016-12-10,33.3
2016-12-11,32.8
2016-12-12,33.7
2016-12-13,34.7
2016-12-14,34.5
2016-12-15,31.7
2016-12-16,25
2016-12-17,26.8
2016-12-18,30.2
2016-12-19,33.2
2016-12-20,34.5
2016-12-21,34.7
2016-12-22,34.3
2016-12-23,33.7
2016-12-24,33.8
2016-12-25,35.3
2016-12-26,35.8
2016-12-27,34.2
2016-12-28,32.7
2016-12-29,30.5
2016-12-30,30.8
2016-12-31,30.7
2017-01-01,23.8
2017-01-02,31.2
2017-01-03,31.7
2017-01-04,26.2
2017-01-05,22.5
2017-01-06,26.2
2017-01-07,30.7
2017-01-08,32.5
2017-01-09,31.2
2017-01-10,25.8
2017-01-11,25.3
2017-01-12,29.8
2017-01-13,33.5
2017-01-14,33.8
2017-01-15,34.7
2017-01-16,34.5
2017-01-17,34.3
2017-01-18,35.2
2017-01-19,35.7
2017-01-20,35
2017-01-21,34.3
2017-01-22,33.8
2017-01-23,32.5
2017-01-24,32.5
2017-01-25,33.3
2017-01-26,34.3
2017-01-27,33.2
2017-01-28,33.8
2017-01-29,35
2017-01-30,35.2
2017-01-31,33.8
2017-02-01,34.8
2017-02-02,35.7
2017-02-03,35
2017-02-04,36.3
2017-02-05,36.7
2017-02-06,36.7
2017-02-07,36.7
2017-02-08,36.8
2017-02-09,36.3
2017-02-10,35.8
2017-02-11,34.8
2017-02-12,33.7
2017-02-13,33.3
2017-02-14,33.5
2017-02-15,33.8
2017-02-16,34.8
2017-02-17,35.8
2017-02-18,36.7
2017-02-19,36.7
2017-02-20,36.8
2017-02-21,37.2
2017-02-22,38.2
2017-02-23,38.8
2017-02-24,39.7
2017-02-25,38.3
2017-02-26,37.2
2017-02-27,36.8
2017-02-28,38.2
2017-03-01,38.3
2017-03-02,36.5
2017-03-03,37.8
2017-03-04,38.7
2017-03-05,39.2
2017-03-06,39.7
2017-03-07,39.2
2017-03-08,38.3
2017-03-09,37.2
2017-03-10,37.8
2017-03-11,39.3
2017-03-12,39.8
2017-03-13,39.3
2017-03-14,39.8
2017-03-15,40
2017-03-16,40
2017-03-17,38
2017-03-18,38.3
2017-03-19,39.8
2017-03-20,39.3
2017-03-21,39.2
2017-03-22,39.7
2017-03-23,40
2017-03-24,40
2017-03-25,40
2017-03-26,39
2017-03-27,36
2017-03-28,37.8
2017-03-29,39.2
2017-03-30,39.5
2017-03-31,40
2017-04-01,30.8
2017-04-02,33
2017-04-03,37.3
2017-04-04,38.2
2017-04-05,38.2
2017-04-06,39.8
2017-04-07,40
2017-04-08,40
2017-04-09,40
2017-04-10,40
2017-04-11,40
2017-04-12,39
2017-04-13,36.8
2017-04-14,35.5
2017-04-15,34.5
2017-04-16,34.8
2017-04-17,30.3
2017-04-18,37
2017-04-19,39.8
2017-04-20,39.2
2017-04-21,39.8
2017-04-22,39.8
2017-04-23,36.8
2017-04-24,38.7
2017-04-25,39.3
2017-04-26,39.5
2017-04-27,39.3
2017-04-28,34.5
2017-04-29,36.3
2017-04-30,39.2
2017-05-01,39.3
2017-05-02,39.5
2017-05-03,40
2017-05-04,39
2017-05-05,38.2
2017-05-06,38.3
2017-05-07,35.7
2017-05-08,39.3
2017-05-09,37.7
2017-05-10,37
2017-05-11,36.5
2017-05-12,35.5
2017-05-13,35
2017-05-15,35
2017-05-16,30.2
2017-05-17,26.3
2017-05-18,33.2
2017-05-19,36.7
2017-05-20,37.3
2017-05-21,39.8
2017-05-22,39.5
2017-05-23,38.7
2017-05-24,32.3
2017-05-25,38.2
2017-05-26,33.8
2017-05-27,34.5
2017-05-28,34.8
2017-05-29,32.3
2017-05-30,32.8
2017-05-31,35.2
2017-06-01,36.5
2017-06-02,35.5
2017-06-03,36.3
2017-06-04,34.5
2017-06-05,36.8
2017-06-06,37.5
2017-06-07,32.2
2017-06-08,33
2017-06-09,33.7
2017-06-10,31.8
2017-06-11,33.3
2017-06-12,34.2
2017-06-13,32.7
2017-06-14,34.3
2017-06-15,33.5
2017-06-16,35.2
2017-06-17,36
2017-06-18,35.7
2017-06-19,35.3
2017-06-20,32.8
2017-06-21,34.5
2017-06-22,36.3
2017-06-23,36.5
2017-06-24,36.7
2017-06-25,34.7
2017-06-26,35.5
2017-06-27,35
2017-06-28,34.3
2017-06-29,33.5
2017-06-30,33
2017-07-01,33.7
2017-07-02,32.5
2017-07-03,31.8
2017-07-04,28.7
2017-07-05,31.3
2017-07-06,34
2017-07-07,33.8
2017-07-08,34.5
2017-07-09,33.5
2017-07-10,30
2017-07-11,30.7
2017-07-12,31.8
2017-07-13,32.5
2017-07-14,34.2
2017-07-15,31.2
2017-07-16,35
2017-07-17,29
2017-07-18,31.3
2017-07-19,32.8
2017-07-20,31
2017-07-21,29.7
2017-07-22,33
2017-07-23,32.8
2017-07-24,34
2017-07-25,33.8
2017-07-26,34.2
2017-07-27,36.2
2017-07-28,34.8
2017-07-29,36.3
2017-07-30,35.5
2017-07-31,35.2
2017-08-01,34
2017-08-02,34
2017-08-03,33.7
2017-08-04,33.7
2017-08-05,32.7
2017-08-06,30
2017-08-07,32.8
2017-08-08,35
2017-08-09,34
2017-08-10,34
2017-08-11,34.3
2017-08-12,35.3
2017-08-13,35.5
2017-08-14,34.5
2017-08-15,29.7
2017-08-16,28.5
2017-08-17,33.2
2017-08-18,31.8
2017-08-19,33.5
2017-08-20,31.8
2017-08-21,32.5
2017-08-22,35.8
2017-08-23,37.2
2017-08-24,31.2
2017-08-25,30
2017-08-26,33.8
2017-08-27,34
2017-08-28,36.5
2017-08-29,32.7
2017-08-30,31.2
2017-08-31,34.5
2017-09-01,34
2017-09-02,34.7
2017-09-03,35.3
2017-09-04,36.3
2017-09-05,31.5
2017-09-06,31.8
2017-09-07,31.5
2017-09-08,33.8
2017-09-09,34
2017-09-10,33.2
2017-09-11,34.7
2017-09-12,36.5
2017-09-13,37.3
2017-09-14,35.2
2017-09-15,35
2017-09-16,26.7
2017-09-17,30.5
2017-09-18,32.3
2017-09-19,35.7
2017-09-20,36.8
2017-09-21,33
2017-09-22,33.3
2017-09-23,33.3
2017-09-24,35.5
2017-09-25,35.2
2017-09-26,31.5
2017-09-27,33
2017-09-28,35.8
2017-09-29,32.3
2017-09-30,33.7
2017-10-01,35.3
2017-10-02,32.2
2017-10-03,30.2
2017-10-04,31
2017-10-05,29.3
2017-10-06,31.7
2017-10-07,33.7
2017-10-08,32.2
2017-10-09,34.3
2017-10-10,32.8
2017-10-11,29.3
2017-10-12,34.3
2017-10-13,31.5
2017-10-14,33.3
2017-10-15,34.3
2017-10-16,32.7
2017-10-17,31.5
2017-10-18,30
2017-10-19,33
2017-10-20,34.8
2017-10-21,35.7
2017-10-22,34.5
2017-10-23,33.3
2017-10-24,31.3
2017-10-25,32.8
2017-10-26,33.8
2017-10-27,32.8
2017-10-28,33.5
2017-10-29,34.2
2017-10-30,31.7
2017-10-31,31.7
2017-11-01,32.8
2017-11-02,32.2
2017-11-03,32.8
2017-11-04,32.2
2017-11-05,30.8
2017-11-06,28.3
2017-11-07,29.8
2017-11-08,30.3
2017-11-09,30.2
2017-11-10,33.7
2017-11-11,34.8
2017-11-12,33.7
2017-11-13,34
2017-11-14,35.2
2017-11-15,35.5
2017-11-16,32.3
2017-11-17,35.7
2017-11-18,36.7
2017-11-19,35.7
2017-11-20,35.2
2017-11-21,33.3
2017-11-22,32.3
2017-11-23,31.3
2017-11-24,31.7
2017-11-25,30.2
2017-11-26,29.8
2017-11-27,30.7
2017-11-28,31.8
2017-11-29,32.3
2017-11-30,33
2017-12-01,33
2017-12-02,33.3
2017-12-03,33.3
2017-12-04,33.2
2017-12-05,31
2017-12-06,31.5
2017-12-07,32.8
2017-12-08,30.8
2017-12-09,31.3
2017-12-10,32.8
2017-12-11,34.3
2017-12-12,34.3
2017-12-13,34.8
2017-12-14,34.2
2017-12-15,33.7
2017-12-16,32.2
2017-12-17,30.8
2017-12-18,27.8
2017-12-19,27.5
2017-12-20,25.5
2017-12-21,26.8
2017-12-22,29.8
2017-12-23,32
2017-12-24,32.3
2017-12-25,30.2
2017-12-26,27.7
2017-12-27,20.2
2017-12-28,23.3
2017-12-29,28
2017-12-30,31
2017-12-31,30.2
2018-01-01,29.7
2018-01-02,30
2018-01-03,30
2018-01-04,29.7
2018-01-05,28.3
2018-01-06,29.5
2018-01-07,32.8
2018-01-08,33.3
2018-01-09,35.5
2018-01-10,33
2018-01-11,27.3
2018-01-12,20.3
2018-01-13,24.7
2018-01-14,29.3
2018-01-15,30
2018-01-16,31.8
2018-01-17,33.2
2018-01-18,33.8
2018-01-19,33.8
2018-01-20,33.8
2018-01-21,34.5
2018-01-22,34.3
2018-01-23,34.8
2018-01-24,34.8
2018-01-25,34.7
2018-01-26,33.3
2018-01-27,33.8
2018-01-28,35
2018-01-29,35.3
2018-01-30,35
2018-01-31,34.2
2018-02-01,31.8
2018-02-02,31.5
2018-02-03,30.7
2018-02-04,31.3
2018-02-05,31.8
2018-02-06,30.7
2018-02-07,32.2
2018-02-08,33.3
2018-02-09,32.8
2018-02-10,35.2
2018-02-11,36
2018-02-12,34.8
2018-02-13,34.7
2018-02-14,36.2
2018-02-15,37.5
2018-02-16,37.3
2018-02-17,37.2
2018-02-18,36.3
2018-02-19,36.8
2018-02-20,37.3
2018-02-21,36.5
2018-02-22,35.8
2018-02-23,33
2018-02-24,36.3
2018-02-25,38.2
2018-02-26,36.3
2018-02-27,35.8
2018-02-28,36.8
2018-03-01,37.5
2018-03-02,37.3
2018-03-03,38.3
2018-03-04,39.2
2018-03-05,39.5
2018-03-06,39.2
2018-03-07,39.3
2018-03-08,38
2018-03-09,30.3
2018-03-10,33.8
2018-03-11,35.3
2018-03-12,35
2018-03-13,37.2
2018-03-14,36.7
2018-03-15,37.3
2018-03-16,37.3
2018-03-17,38.2
2018-03-18,37.5
2018-03-19,38.7
2018-03-20,39.2
2018-03-21,37
2018-03-22,36.5
2018-03-23,36.3
2018-03-24,37.5
2018-03-25,37.8
2018-03-26,36.5
2018-03-27,35.3
2018-03-28,37.3
2018-03-29,38
2018-03-30,37.8
2018-03-31,33.8
2018-04-01,35.8
2018-04-02,37.3
2018-04-03,37.5
2018-04-04,35.3
2018-04-05,37.2
2018-04-06,37.8
2018-04-07,25.7
2018-04-08,32.7
2018-04-09,37.2
2018-04-10,39.2
2018-04-11,39.8
2018-04-12,39.8
2018-04-13,40
2018-04-14,40
2018-04-15,39.5
2018-04-16,37.3
2018-04-17,35.7
2018-04-18,35
2018-04-19,36
2018-04-20,37
2018-04-21,38.7
2018-04-22,38.8
2018-04-23,40
2018-04-24,39.5
2018-04-25,38.5
2018-04-26,35.5
2018-04-27,36.3
2018-04-28,30.7
2018-04-29,34.3
2018-04-30,36.8
2018-05-01,34.3
2018-05-02,29.8
2018-05-03,35.3
2018-05-04,30.7
2018-05-05,37
2018-05-06,38.3
2018-05-07,39.2
2018-05-08,38.2
2018-05-09,38.2
2018-05-10,38.7
2018-05-11,36.2
2018-05-12,32.2
2018-05-13,35.7
2018-05-14,38.2
2018-05-15,37.5
2018-05-16,38.2
2018-05-17,34.7
2018-05-18,35.5
2018-05-19,37.8
2018-05-20,37
2018-05-21,37.7
2018-05-22,35.5
2018-05-23,36.7
2018-05-24,34.5
2018-05-25,36.2
2018-05-26,35.3
2018-05-27,36
2018-05-28,30.3
2018-05-29,31.2
2018-05-30,32.2
2018-05-31,34.8
2018-06-01,35.7
2018-06-02,37.2
2018-06-03,37.5
2018-06-04,37.5
2018-06-05,37.5
2018-06-06,35.8
2018-06-07,34.2
2018-06-08,33.8
2018-06-09,32
2018-06-10,30.3
2018-06-11,29.8
2018-06-12,30
2018-06-13,31.3
2018-06-14,31.7
2018-06-15,32.2
2018-06-16,33.8
2018-06-17,31.5
2018-06-18,35.2
2018-06-19,31.5
2018-06-20,35
2018-06-21,33
2018-06-22,33.5
2018-06-23,34.3
2018-06-24,33
2018-06-25,30.2
2018-06-26,30.3
2018-06-27,31.5
2018-06-28,33.3
2018-06-29,33
2018-06-30,35.3
2018-07-01,35
2018-07-02,36
2018-07-03,34.8
2018-07-04,35.2
2018-07-05,35.3
2018-07-06,34.7
2018-07-07,33.8
2018-07-08,31.7
2018-07-09,33.2
2018-07-10,34.3
2018-07-11,33.2
2018-07-12,33.5
2018-07-13,35
2018-07-14,33.8
2018-07-15,34
2018-07-16,32.3
2018-07-17,33
2018-07-18,31.3
2018-07-19,30.3
2018-07-20,28.3
2018-07-21,31.2
2018-07-22,31.2
2018-07-23,32.5
2018-07-24,31.2
2018-07-25,28.7
2018-07-26,30
2018-07-27,30.7
2018-07-28,29.3
2018-07-29,31.3
2018-07-30,31
2018-07-31,31.3
2018-08-01,33.2
2018-08-02,33.2
2018-08-03,33.7
2018-08-04,32
2018-08-05,32.2
2018-08-06,33.2
2018-08-07,34.8
2018-08-08,35.8
2018-08-09,31.3
2018-08-10,33
2018-08-11,33.2
2018-08-12,32
2018-08-13,32
2018-08-14,32.8
2018-08-15,32.3
2018-08-16,33.8
2018-08-17,28
2018-08-18,30.7
2018-08-19,33
2018-08-20,33.7
2018-08-21,33.8
2018-08-22,33.2
2018-08-23,32.3
2018-08-24,33.3
2018-08-25,31.2
2018-08-26,31.2
2018-08-27,32.2
2018-08-28,32.2
2018-08-29,31.5
2018-08-30,30.5
2018-08-31,31
2018-09-01,33
2018-09-02,34.3
2018-09-03,29.2
2018-09-04,31.5
2018-09-05,32.5
2018-09-06,35.3
2018-09-07,36.3
2018-09-08,31
2018-09-09,34
2018-09-10,35.2
2018-09-11,35.8
2018-09-12,32
2018-09-13,34
2018-09-14,35.8
2018-09-15,36.7
2018-09-16,38.3
2018-09-17,37.3
2018-09-18,33
2018-09-19,31.3
2018-09-20,35.5
2018-09-21,36.7
2018-09-22,34.8
2018-09-23,37.5
2018-09-24,36.7
2018-09-25,36.3
2018-09-26,37.8
2018-09-27,37.2
2018-09-28,36.3
2018-09-29,33.5
2018-09-30,30.8
2018-10-01,34
2018-10-02,31.2
2018-10-03,31.7
2018-10-04,34.7
2018-10-05,36.2
2018-10-06,36.7
2018-10-07,36.7
2018-10-08,36.7
2018-10-09,36.7
2018-10-10,33.8
2018-10-11,32.3
2018-10-12,34.7
2018-10-13,34.5
2018-10-14,37.5
2018-10-15,38
2018-10-16,35.5
2018-10-17,37
2018-10-18,37.7
2018-10-19,37.2
2018-10-20,36.3
2018-10-21,28.2
2018-10-22,31.5
2018-10-23,30.5
2018-10-24,33.3
2018-10-25,33.3
2018-10-26,36.2
2018-10-27,36.7
2018-10-28,36.8
2018-10-29,36.5
2018-10-30,34.8
2018-10-31,33.2
2018-11-01,33
2018-11-02,34.2
2018-11-03,34.8
2018-11-04,35.7
2018-11-05,36
2018-11-06,36.2
2018-11-07,35.8
2018-11-08,35.7
2018-11-09,31.7
2018-11-10,29
2018-11-11,32.2
2018-11-12,31
2018-11-13,32.8
2018-11-14,34.8
2018-11-15,35.7
2018-11-16,37.2
2018-11-17,36.7
2018-11-18,35.2
2018-11-19,37.2
2018-11-20,37
2018-11-21,37.2
2018-11-22,35.8
2018-11-23,34.2
2018-11-24,34.7
2018-11-25,34.7
2018-11-26,34
2018-11-27,33.3
2018-11-28,33
2018-11-29,33.3
2018-11-30,35.2
2018-12-01,35
2018-12-02,36.2
2018-12-03,35.8
2018-12-04,36.7
2018-12-05,37
2018-12-06,36.7
2018-12-07,33.2
2018-12-08,29.7
2018-12-09,33.2
2018-12-10,31.8
2018-12-11,32.7
2018-12-12,29.3
2018-12-13,28.7
2018-12-14,31
2018-12-15,33
2018-12-16,33.5
2018-12-17,34
2018-12-18,33.2
2018-12-19,34.3
2018-12-20,32
2018-12-21,35.3
2018-12-22,35.7
2018-12-23,35
2018-12-24,34.5
2018-12-25,34.3
2018-12-27,34.5
2018-12-28,33.7
2018-12-29,27.3
2018-12-30,27.2
2018-12-31,30.2
2019-01-01,32.3
2019-01-02,32.3
2019-01-03,31.8
2019-01-04,31.3
2019-01-05,30
2019-01-06,32.3
2019-01-07,34.7
2019-01-08,32.2
2019-01-09,32.8
2019-01-10,34.5
2019-01-11,35.7
2019-01-12,36.7
2019-01-13,36.8
2019-01-14,36.5
2019-01-15,34.3
2019-01-16,35.2
2019-01-17,35
2019-01-18,33
2019-01-19,34.5
2019-01-20,36.5
2019-01-21,35.7
2019-01-22,34.3
2019-01-23,35.2
2019-01-24,35.7
2019-01-25,36.2
2019-01-26,34
2019-01-27,33.8
2019-01-28,34.3
2019-01-29,35.3
2019-01-30,36.2
2019-01-31,37
2019-02-01,35.7
2019-02-02,36.5
2019-02-03,37.7
2019-02-04,38.3
2019-02-05,38.8
2019-02-06,37.7
2019-02-07,38
2019-02-08,39.2
2019-02-09,39.2
2019-02-10,38.8
2019-02-11,36.7
2019-02-12,34.8
2019-02-13,37.8
2019-02-14,37
2019-02-15,36.2
